Character Number	State Number	SimJ Score	NIC Score
1	0	1.0	0.8597206924451644
1	1	1.0	0.8268156128434346
1	2	1.0	0.8248095226320111
2	0	0.42857142857142855	0.8679145844014362
2	1	0.42857142857142855	0.8679145844014362
3	0	0.005211267605633803	0.6862450438390629
3	1	0.005211267605633803	0.6862450438390629
4	0	0.012738853503184714	0.6786772495988559
4	1	0.012738853503184714	0.6786772495988559
5	0	0.34782608695652173	0.7691046685903521
5	1	0.34782608695652173	0.7691046685903521
5	2	0.06611570247933884	0.557648303347535
6	0	0.7798165137614679	0.8725396812405707
6	1	0.5751014884979703	0.8310702894968192
6	2	0.7798165137614679	0.8725396812405707
6	3	0	0
6	4	0	0
7	0	0.07462686567164178	0.8289003930493086
7	1	0.10204081632653061	0.8289003930493086
8	0	0.9767441860465116	0.8636599077480517
8	1	0.7011494252873564	0.8597206924451644
9	0	0.04289544235924933	0.4871041297877419
9	1	0.0686456400742115	0.560734478710337
10	0	0.85	0.8832063484213408
10	1	0.49635036496350365	0.8248095226320111
10	2	0.85	0.8832063484213408
11	0	0.75	0.8434881059612479
11	1	1.0	0.8832063484213408
12	0	1.0	0.8679145844014362
12	1	1.0	0.8560533707353247
13	0	0.002150537634408602	0.6912677123262579
13	1	0.002577319587628866	0.6912677123262579
14	0	0.002136752136752137	0.5843252429935993
14	1	1.0	0.8597206924451644
15	0	0.2727272727272727	0.8333325492717291
15	1	0.5	0.8679145844014362
16	0	0.011418376449598573	0.6675772195588547
16	1	0.011418376449598573	0.6675772195588547
17	0	0.0021204871683340584	0.6235712026351273
17	1	0.0021204871683340584	0.6235712026351273
18	0	0.6666666666666666	0.8597206924451644
18	1	1.0	0.8965649873497815
19	0	0.03319502074688797	0.4569484388212528
19	1	0.1839080459770115	0.8776059016200373
19	2	0.1839080459770115	0.6928884196265563
20	0	1.0	0.8679145844014362
20	1	1.0	0.8679145844014362
21	0	0.13962765957446807	0.8125560187606915
21	1	0.09813084112149532	0.8125560187606915
22	0	0.3333333333333333	0.8310702894968192
22	1	0.3333333333333333	0.8310702894968192
23	0	0.1413575807390664	0.8210111155744947
23	1	0.1413575807390664	0.8210111155744947
24	0	0.0016385980883022303	0.5898072251112714
24	1	0.0032457287111752244	0.5906661230333974
25	0	0.6373626373626373	0.8526228203815318
25	1	0.6373626373626373	0.8560533707353247
26	0	0.25	0.8268156128434346
26	1	0.8333333333333334	0.8560533707353247
27	0	0.11517367458866545	0.6083353031306579
27	1	0.11517367458866545	0.6083353031306579
28	0	0.03832752613240418	0.6211695378982164
